"구분(1)",구분(2),구분(3),구분(4),2024.05,2024.06,2024.07,2024.08,2024.09,2024.10
"도시대기",충청남도,부여,부여읍,28,28,18,24,20,24
"도시대기",충청남도,청양,청양읍,27,28,18,23,19,25
"도시대기",충청남도,청양,정산면사무소,26,25,15,20,15,21
"도시대기",충청남도,금산,금산읍,27,23,19,24,21,19
"도시대기",충청남도,예산,예산군,32,29,17,24,20,24
"도시대기",충청남도,예산,삽교읍,33,32,17,25,21,37
"도시대기",충청남도,예산,고덕면,34,31,15,-,-,33*
"도시대기",충청남도,계룡,엄사면,35,32,18,24,19,24
"도시대기",충청남도,서천,서천읍,30,26,18,23,18,28
"도시대기",충청남도,서천,서면,23,21,15,19,16,22
"도시대기",충청남도,서천,장항읍,-,-,-,-,-,31*
"도시대기",전북특별자치도,임실,임실읍,30,23,12,17,14,17
"도시대기",전북특별자치도,임실,관촌면,30,24,15,18,14,17
"도시대기",전북특별자치도,전주,효자동,33,32,19,25,22,26
"도시대기",전북특별자치도,전주,삼천동,35,32,18,24,21,29
"도시대기",전북특별자치도,전주,팔복동,38,37,20,26,25,33
"도시대기",전북특별자치도,전주,노송동,35,34,17*,21,18,25
"도시대기",전북특별자치도,전주,송천동,37,34,19,26,22,28
"도시대기",전북특별자치도,전주,혁신동,32,32,18,24,24,28
"도시대기",전북특별자치도,전주,여의동,31,32,17,24,22,26
"도시대기",전북특별자치도,군산,신풍동,31,29,19,24,20,27
"도시대기",전북특별자치도,군산,소룡동,33,32,20,26,23,31
"도시대기",전북특별자치도,군산,사정동,33,31,20,24,19,28
"도시대기",전북특별자치도,군산,옥산면,33,31,19,24,20,29
"도시대기",전북특별자치도,군산,비응도동,31,27,19,25,26,36
"도시대기",전북특별자치도,군산,소룡동2,33,32,19,25,24,33
"도시대기",전북특별자치도,익산,함열읍,41,42,25,30,27,38
"도시대기",전북특별자치도,익산,팔봉동,35,38,20,24,21,20**
"도시대기",전북특별자치도,익산,모현동,38,36,19,25,24,37
"도시대기",전북특별자치도,익산,삼기면,41,42,19,24,21,30*
"도시대기",전북특별자치도,익산,용동면,39,39,22,29,25,37
"도시대기",전북특별자치도,익산,춘포면,38,41,20,26,24,37
"도시대기",전북특별자치도,익산,여산면,32,34,19,22,20,28
"도시대기",전북특별자치도,남원,죽항동,31,30,22,20,17,17
"도시대기",전북특별자치도,남원,운봉읍,31,29,17,23,23,19
